Year,Month,State,residentialRevenue,residentialSales,residentialCustomers,residentialPrice,commercialRevenue,commercialSales,commercialCustomers,commercialPrice,industrialRevenue,industrialSales,industrialCustomers,industrialPrice,transportationRevenue,transportationSales,transportationCustomers,transportationPrice,totalRevenue,totalSales,totalCustomers,totalPrice
2025,11,AK,47404.29,181076.58,303853.00,26.18,49395.75,224561.05,58052.00,22.00,25713.25,121977.96,1218.00,21.08,0.00,0.00,0.00,0.00,122513.29,527615.59,363123.00,23.22
2025,11,AL,350161.57,2177139.60,2436561.00,16.08,245241.64,1705243.30,397857.00,14.38,199748.83,2608914.00,7245.00,7.66,0.00,0.00,0.00,0.00,795152.04,6491296.90,2841663.00,12.25
2025,11,AR,151908.51,1149330.10,1497944.00,13.22,93825.33,861626.39,209039.00,10.89,116352.12,1782931.70,36840.00,6.53,2.82,20.78,2.00,13.55,362088.77,3793908.90,1743825.00,9.54
2025,11,AZ,347424.77,2218250.50,3190448.00,15.66,338266.94,2912450.00,352263.00,11.61,91980.55,1223967.40,7152.00,7.52,82.15,866.33,2.00,9.48,777754.41,6355534.30,3549865.00,12.24
2025,11,CA,1816386.10,5693060.00,13594127.00,31.91,2187366.00,8947444.50,1691276.00,24.45,617192.98,3193788.80,132201.00,19.32,10296.14,55259.18,13.00,18.63,4631241.20,17889552.00,15417617.00,25.89
2025,11,CO,233150.88,1425953.40,2529776.00,16.35,209137.53,1657563.10,401128.00,12.62,110334.19,1209444.90,14617.00,9.12,663.95,6759.54,1.00,9.82,553286.55,4299720.90,2945522.00,12.87
2025,11,CT,266007.36,984306.00,1598577.00,27.02,189541.20,894488.59,156482.00,21.19,34992.77,197720.48,3788.00,17.70,2368.16,13662.94,3.00,17.33,492909.49,2090178.00,1758850.00,23.58
2025,11,DC,35251.09,155159.85,325508.00,22.72,114241.97,519975.04,27608.00,21.97,3405.16,18137.63,1.00,18.77,2726.53,27154.20,3.00,10.04,155624.75,720426.73,353120.00,21.60
2025,11,DE,63734.61,338907.22,479181.00,18.81,41511.56,316552.33,61038.00,13.11,13275.07,140064.10,1132.00,9.48,0.00,0.00,0.00,0.00,118521.24,795523.65,541351.00,14.90
2025,11,FL,1451457.40,9198523.20,10676310.00,15.78,904123.06,7608375.10,1330498.00,11.88,120469.33,1331148.50,24619.00,9.05,589.80,5161.65,2.00,11.43,2476639.60,18143208.00,12031429.00,13.65
