State,Year,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),Quantity of Fuel Consumed,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
AK,2013,4864278243.0,2060708.0,56642145.0,53360690.0,37320289.0,4153725.98,3768235.48
AK,2014,4291935947.0,3813977.0,53259139.0,46972358.0,35050483.0,3921594.1,3557646.79
AK,2015,4503829153.0,3960620.0,53251550.0,46689620.0,33492171.0,4052559.52,3676457.94
AK,2016,4465955881.0,4435104.0,50247520.0,42871402.0,31445535.0,3820915.0,3466309.0
AK,2017,4671257638.0,4601270.0,51395494.0,43782673.0,32283083.0,3892782.0,3531516.0
AK,2018,4385744599.0,4549096.0,48234742.0,40698465.0,28693701.0,3736302.0,3389551.0
AK,2019,4271241062.0,4450218.0,48749683.0,41483338.0,27947337.0,3825467.0,3470440.0
AK,2020,4348350684.0,4750627.0,48731332.0,41018056.0,26586349.0,3812740.0,3458861.0
AK,2021,4740776104.0,4956136.0,50621580.0,42635636.0,29084781.0,3920868.0,3556952.0
AK,2022,4803835592.0,5056724.0,51600732.0,43501372.0,30407812.0,3958942.0,3591503.0
AK,2023,4798364037.0,4764591.0,52130900.0,44364970.0,31103506.0,3973395.0,3604604.0
AK,2024,4805845506.0,4885954.0,52023816.0,44134957.0,30129209.0,4008035.0,3636027.0
AL,2013,93714296884.0,17417574.0,867682443.0,838137651.0,384800826.0,73838697.57,66986026.96
AL,2014,95670461583.0,17897807.0,883840510.0,852412424.0,400599631.0,74553545.35,67634532.67999999
AL,2015,97339094200.0,17630021.0,874339446.0,843175454.0,450798362.0,71034184.34,64441789.28
AL,2016,92107856384.0,31714620.0,810125263.0,762657750.0,463656906.0,63686745.0,57776234.0
AL,2017,84459771845.0,32568566.0,747099018.0,698748814.0,431297178.0,58633646.0,53192095.0
AL,2018,90643642193.0,33048740.0,801533482.0,752075089.0,483681875.0,61882865.0,56139765.0
AL,2019,83872357550.0,31009827.0,740251855.0,694352965.0,472072666.0,56042595.0,50841507.0
AL,2020,76972044774.0,30737355.0,667080035.0,623146078.0,445280634.0,49386084.0,44802357.0
AL,2021,81370699341.0,36077969.0,716541610.0,664310822.0,447155453.0,54685534.0,49609944.0
AL,2022,88202352524.0,30824273.0,770084352.0,725502057.0,504164544.0,57597976.0,52252066.0
AL,2023,81054864081.0,35774853.0,706586032.0,654244084.0,502337954.0,50796289.0,46081675.0
AL,2024,85547353277.0,35980827.0,738956989.0,687338497.0,519332328.0,53480228.0,48516503.0
AR,2013,44090863501.0,12392406.0,433263552.0,413962430.0,123534097.0,41166031.650000006,37345578.9
AR,2014,42876814999.0,11589701.0,423002998.0,404893515.0,103082142.0,41103225.79,37288601.8
AR,2015,36678887477.0,12645820.0,351726220.0,331880910.0,135415357.0,31511664.78,28587194.76
AR,2016,42019257485.0,12376030.0,395234074.0,377608918.0,161300766.0,34971421.0,31725866.0
AR,2017,43652866565.0,12185935.0,407671033.0,390237063.0,154160403.0,36730606.0,33321792.0
AR,2018,50660409813.0,13460939.0,471444713.0,452231677.0,183053806.0,42272601.0,38349453.0
AR,2019,45137812364.0,13301163.0,415031988.0,396086750.0,186726172.0,35840289.0,32514094.0
AR,2020,33777450731.0,11217263.0,309773349.0,293764400.0,154953810.0,25870301.0,23469172.0
AR,2021,42111561092.0,11228619.0,380033260.0,364230802.0,173208807.0,32612719.0,29585793.0
AR,2022,46467842001.0,11351244.0,415793494.0,399730775.0,211251648.0,34505167.0,31302599.0
AR,2023,43383351967.0,11012687.0,386654057.0,371107693.0,212162451.0,31265252.0,28363393.0
AR,2024,40447907487.0,11630421.0,368074316.0,351846672.0,205187060.0,29606067.0,26858207.0
AZ,2013,73219971877.0,268067.0,681346121.0,680631350.0,248230861.0,61003637.11,55342136.51
AZ,2014,69963751387.0,83546.0,656472655.0,656256259.0,230236777.0,59175964.66,53684083.0
AZ,2015,69872389227.0,20769.0,640053211.0,640008317.0,269745742.0,55336739.62,50201160.92
AZ,2016,64637794718.0,804131.0,586507229.0,585454743.0,273851927.0,49086256.0,44530763.0
AZ,2017,61043566071.0,809463.0,564159890.0,563101581.0,242593315.0,48213777.0,43739255.0
AZ,2018,67962644060.0,795517.0,623586908.0,622529777.0,303116016.0,51539881.0,46756674.0
AZ,2019,69366089015.0,868324.0,621320253.0,620150361.0,370929075.0,48018402.0,43562008.0
AZ,2020,64565228381.0,1003836.0,552296634.0,550750467.0,398865753.0,39367856.0,35713962.0
AZ,2021,62397239108.0,870568.0,525467792.0,524272519.0,367848956.0,37781487.0,34274829.0
AZ,2022,58534916514.0,881810.0,499005624.0,497792191.0,348447067.0,36318869.0,32947964.0
AZ,2023,64917624265.0,941103.0,546679710.0,545304015.0,410543508.0,38347696.0,34788488.0
AZ,2024,64934533018.0,941734.0,540839916.0,539415161.0,426802025.0,36836775.0,33417804.0
CA,2013,133159944748.0,99668881.0,1101260414.0,1025500621.0,1002555025.0,63187519.2,57323341.33
CA,2014,133832276498.0,94137671.0,1104469626.0,1036203838.0,1003090470.0,63389486.82,57506565.28
CA,2015,128827275130.0,93721618.0,1070264414.0,1000395758.0,974532474.0,61157030.79,55481294.38
CA,2016,109398544350.0,86882098.0,906378687.0,840661677.0,815302393.0,51816517.0,47007640.0
CA,2017,100631719827.0,97686282.0,861360512.0,778235144.0,775264246.0,48978495.0,44433001.0
CA,2018,102168999988.0,88584792.0,846478021.0,781885408.0,761916058.0,48114516.0,43649192.0
CA,2019,97359834054.0,75141296.0,793933611.0,741241506.0,714703676.0,45055291.0,40873896.0
CA,2020,104057704243.0,72138447.0,842680389.0,796132504.0,760810019.0,47887789.0,43443143.0
CA,2021,109235189101.0,67769715.0,871137569.0,830051975.0,786853183.0,49686334.0,45074747.0
CA,2022,108277483125.0,63383557.0,860324335.0,765750220.0,776097665.0,48995823.0,44448299.0
CA,2023,106137081033.0,61866633.0,841271034.0,748326413.0,759440502.0,47795913.0,43359787.0
CA,2024,97548285658.0,58032798.0,767934359.0,681143617.0,692539700.0,43645341.0,39594436.0
CO,2013,44422433661.0,3569300.0,451578088.0,445175454.0,108880967.0,43416640.53,39387317.85
CO,2014,44508589182.0,3364200.0,445700384.0,439587164.0,115036342.0,42409466.699999996,38473615.75
CO,2015,43191909098.0,3279316.0,433108522.0,427133658.0,110255226.0,41240683.75,37413302.93
CO,2016,42635088936.0,3782454.0,421432872.0,415472798.0,114032322.0,39765104.0,36074666.0
CO,2017,41781707554.0,3805660.0,417475217.0,411625838.0,114691727.0,39373758.0,35719641.0
CO,2018,42792382004.0,3371376.0,421264287.0,416078355.0,141624538.0,38264015.0,34712891.0
CO,2019,42425580672.0,2905665.0,416665130.0,412092257.0,145856255.0,37380815.0,33911653.0
CO,2020,37461110525.0,2594585.0,372869231.0,368710925.0,156782010.0,32045348.0,29071087.0
CO,2021,38189623916.0,3211604.0,382172408.0,377194822.0,135578094.0,34313215.0,31128466.0
CO,2022,37195736318.0,2854973.0,372302268.0,367907009.0,144382614.0,32781761.0,29739147.0
CO,2023,36055311947.0,2696160.0,353294748.0,349084845.0,150201446.0,30401053.0,27579399.0
CO,2024,34446599290.0,2802213.0,336647119.0,332296579.0,156986597.0,28221286.0,25601953.0
CT,2013,18103438735.0,2908649.0,160241748.0,154293136.0,124208191.0,9619091.85,8726382.89
CT,2014,17255958658.0,1852123.0,154094232.0,149627287.0,116692302.0,9317020.96,8452345.92
CT,2015,19535220689.0,1714825.0,167633619.0,164010326.0,134873280.0,9974724.36,9049010.63
